,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
0,Alabama A & M University,Normal,NCAA Division I-AA,1836,1999364.0,60614.0,193.0,909973.0,787579.0,787579,16.0,16.0,6724.0,107587.0,1.0,1058243.0,669821.0
1,University of Alabama at Birmingham,Birmingham,NCAA Division I-A,3470,4058861.0,234832.0,214.0,2730205.0,2754158.0,2754158,15.0,15.0,43029.0,645439.0,1.0,3592461.0,2959620.0
2,University of Alabama in Huntsville,Huntsville,NCAA Division II (without football),2311,1403764.0,61465.0,195.0,2583296.0,2583296.0,2583296,15.0,15.0,4375.0,65632.0,1.0,548694.0,548694.0
3,Alabama State University,Montgomery,NCAA Division I-AA,1974,2304337.0,98488.0,223.0,1503677.0,1503677.0,1503677,13.0,13.0,25469.0,331098.0,1.0,980598.0,980598.0
4,The University of Alabama,Tuscaloosa,NCAA Division I-A,12160,6228556.0,1276101.0,360.0,3216522.0,7313029.0,7313029,14.0,14.0,99920.0,1398885.0,1.0,14800313.0,6573147.0
5,Central Alabama Community College,Alexander City,NJCAA Division I,419,193625.0,29772.0,37.0,350947.0,350947.0,350947,,,,,,,
6,Auburn University at Montgomery,Montgomery,NAIA Division I,1138,597891.0,46747.0,80.0,979450.0,850161.0,850161,13.0,13.0,2975.0,38674.0,1.0,393600.0,350142.0
7,Auburn University,Auburn University,NCAA Division I-A,8956,6881489.0,1168445.0,305.0,10664886.0,10664886.0,10664886,15.0,15.0,78822.0,1182337.0,1.0,10245526.0,10245526.0
8,Birmingham Southern College,Birmingham,NCAA Division III (with football),632,0.0,43558.0,356.0,910621.0,910621.0,910621,25.0,25.0,3313.0,82818.0,1.0,218336.0,218336.0
9,Chattahoochee Valley Community College,Phenix City,NJCAA Division I,418,302545.0,31296.0,44.0,401606.0,401606.0,401606,14.0,14.0,2949.0,41283.0,,178376.0,178376.0
10,Concordia College Alabama,Selma,Other,299,369069.0,25680.0,138.0,291447.0,291447.0,291447,15.0,15.0,4093.0,61395.0,1.0,149686.0,149686.0
11,Enterprise State Community College,Enterprise,NJCAA Division I,757,125022.0,45006.0,41.0,199318.0,199318.0,199318,14.0,14.0,1919.0,26871.0,1.0,119233.0,119233.0
12,James H Faulkner State Community College,Bay Minette,NJCAA Division I,987,449010.0,0.0,85.0,435305.0,433426.0,433426,18.0,18.0,2734.0,49217.0,,237211.0,213499.0
13,Faulkner University,Montgomery,NAIA Division I,713,2285696.0,51139.0,247.0,1493765.0,1493765.0,1493765,15.0,15.0,5670.0,85053.0,,561334.0,561334.0
14,Gadsden State Community College,Gadsden,NJCAA Division I,1480,98528.0,15092.0,22.0,57379.0,57379.0,57379,13.0,13.0,2018.0,26236.0,,157265.0,157265.0
15,George C Wallace State Community College-Dothan,Dothan,NJCAA Division I,878,184955.0,20920.0,24.0,311813.0,299134.0,299134,,,,,,,
16,George C Wallace State Community College-Hanceville,Hanceville,NJCAA Division I,1241,406174.0,10396.0,61.0,301632.0,301632.0,301632,25.0,25.0,1300.0,32494.0,,222084.0,222084.0
17,George C Wallace State Community College-Selma,Selma,NJCAA Division I,405,82400.0,10000.0,52.0,121000.0,121000.0,121000,17.0,17.0,2794.0,47502.0,,93000.0,93000.0
18,Huntingdon College,Montgomery,NCAA Division III (with football),487,0.0,56566.0,280.0,886387.0,862945.0,862945,27.0,27.0,2407.0,64983.0,1.0,205641.0,203095.0
19,Jacksonville State University,Jacksonville,NCAA Division I-AA,2425,2068990.0,95474.0,218.0,1271840.0,1271840.0,1407282,18.0,18.0,12517.0,225314.0,1.0,987621.0,987621.0
20,Jefferson Davis Community College,Brewton,NJCAA Division I,278,268998.0,21593.0,39.0,221774.0,221774.0,221774,13.0,13.0,805.0,10465.0,,173955.0,173955.0
21,John C Calhoun State Community College,Tanner,NJCAA Division I,2001,181788.0,25000.0,29.0,329411.0,329411.0,329411,,,,,,,
22,Judson College,Marion,NCCAA Division I,1,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,,,
23,Lawson State Community College-Birmingham Campus,Birmingham,NJCAA Division I,762,244914.0,29300.0,39.0,238314.0,238314.0,238314,16.0,16.0,1561.0,24968.0,,186668.0,186668.0
24,University of West Alabama,Livingston,NCAA Division II (with football),748,1170019.0,53335.0,262.0,1091855.0,1091855.0,1221440,18.0,18.0,11911.0,214393.0,1.0,621141.0,621141.0
25,Lurleen B Wallace Community College,Andalusia,NJCAA Division I,393,181767.0,29195.0,45.0,168691.0,163691.0,163691,15.0,15.0,1053.0,15790.0,,139092.0,139092.0
26,Marion Military Institute,Marion,NJCAA Division I,339,407839.0,35512.0,49.0,462549.0,434605.0,434605,16.0,16.0,879.0,14067.0,1.0,195067.0,193347.0
27,Miles College,Fairfield,NCAA Division III (with football),834,798320.0,54399.0,147.0,300907.0,300907.0,300907,16.0,16.0,6546.0,104743.0,1.0,341251.0,341251.0
28,University of Mobile,Mobile,NAIA Division I,456,1399671.0,33060.0,94.0,1551441.0,1537197.0,1537197,14.0,14.0,5006.0,70088.0,1.0,512803.0,501862.0
29,University of Montevallo,Montevallo,NCAA Division II (without football),769,755427.0,47771.0,102.0,1061483.0,1061483.0,1061483,15.0,15.0,6376.0,95647.0,1.0,565136.0,565136.0
30,University of North Alabama,Florence,NCAA Division II (with football),2040,1261298.0,53889.0,192.0,818037.0,818037.0,818037,14.0,14.0,7447.0,104259.0,1.0,486389.0,486389.0
31,Oakwood University,Huntsville,Other,747,0.0,2500.0,54.0,17499.0,16675.0,16675,16.0,16.0,1834.0,29343.0,,45833.0,35343.0
32,Alabama Southern Community College,Monroeville,NJCAA Division II,369,290855.0,46680.0,45.0,348320.0,348320.0,348320,19.0,19.0,2894.0,54982.0,1.0,208158.0,208158.0
33,Bishop State Community College,Mobile,NJCAA Division I,960,195537.0,60120.0,42.0,236439.0,236439.0,236439,13.0,13.0,3555.0,46210.0,0.0,233247.0,233247.0
34,Samford University,Birmingham,NCAA Division I-AA,996,4409461.0,162977.0,246.0,2059916.0,2030635.0,2030635,16.0,16.0,15695.0,251114.0,1.0,2240562.0,2001523.0
35,Selma University,Selma,Other,180,33000.0,6000.0,33.0,36092.0,53339.0,53339,13.0,13.0,1105.0,14369.0,,54870.0,37623.0
36,Shelton State Community College,Tuscaloosa,NJCAA Division I,1203,201961.0,51085.0,47.0,361249.0,360518.0,360518,18.0,18.0,6892.0,124054.0,1.0,306829.0,300353.0
37,Snead State Community College,Boaz,NJCAA Division I,647,265899.0,17027.0,58.0,285884.0,285884.0,285884,21.0,21.0,1419.0,29796.0,,201240.0,201240.0
38,University of South Alabama,Mobile,NCAA Division I-A,3830,3322672.0,131974.0,287.0,2431526.0,2320276.0,2320276,14.0,14.0,28707.0,401895.0,1.0,1909407.0,1696927.0
39,Spring Hill College,Mobile,NAIA Division I,488,769720.0,31911.0,142.0,828776.0,826642.0,826642,17.0,17.0,2526.0,42938.0,1.0,554490.0,540744.0
40,Stillman College,Tuscaloosa,NCAA Division II (with football),411,951000.0,33500.0,171.0,480884.0,476169.0,476169,16.0,16.0,4073.0,65160.0,1.0,264083.0,264083.0
41,Talladega College,Talladega,NAIA Division I,386,679678.0,29000.0,87.0,699877.0,699877.0,699877,17.0,17.0,4523.0,76888.0,1.0,336377.0,336377.0
42,Troy University,Troy,NCAA Division I-A,3602,3027687.0,158795.0,260.0,2465341.0,2309104.0,2309104,15.0,15.0,12484.0,187255.0,1.0,2221506.0,2221506.0
43,Tuskegee University,Tuskegee,NCAA Division II (with football),1038,1579374.0,41333.0,198.0,493204.0,493204.0,493204,17.0,17.0,5855.0,99532.0,1.0,516755.0,516755.0
44,University of Alaska Anchorage,Anchorage,NCAA Division II (without football),3245,1223076.0,99239.0,119.0,4219596.0,4025956.0,4025956,13.0,13.0,16657.0,216541.0,1.0,1688294.0,1638021.0
45,University of Alaska Fairbanks,Fairbanks,NCAA Division II (without football),1772,646048.0,63293.0,62.0,2909660.0,2909660.0,3085640,14.0,14.0,12591.0,176273.0,,729478.0,729478.0
46,Arizona State University-Tempe,Tempe,NCAA Division I-A,19336,6805548.0,919717.0,344.0,1953418.0,7165812.0,7165812,17.0,17.0,81716.0,1389175.0,1.0,7679732.0,7170588.0
47,Arizona Western College,Yuma,NJCAA Division I,1267,669313.0,32298.0,148.0,448105.0,448105.0,448105,16.0,16.0,3517.0,56277.0,,201942.0,201942.0
48,University of Arizona,Tucson,NCAA Division I-A,13385,6009951.0,662336.0,285.0,1946608.0,14791077.0,14791077,16.0,16.0,203954.0,3263256.0,1.0,27518562.0,9830943.0
49,Central Arizona College,Coolidge,NJCAA Division I,842,410851.0,8428.0,102.0,552109.0,552109.0,552109,9.0,9.0,3056.0,27502.0,,140858.0,140858.0
50,Cochise College,Douglas,NJCAA Division I,715,193950.0,55928.0,47.0,348208.0,348208.0,348208,15.0,15.0,1507.0,22600.0,1.0,215285.0,215285.0
51,Eastern Arizona College,Thatcher,NJCAA Division I,1007,682654.0,17813.0,134.0,349843.0,349843.0,349843,11.0,11.0,7981.0,87795.0,,232584.0,232584.0
52,Embry-Riddle Aeronautical University-Prescott,Prescott,NAIA Division I,1320,545399.0,38062.0,66.0,959485.0,947745.0,947745,,,,,,,
53,Glendale Community College,Glendale,NJCAA Division II,3304,111673.0,14564.0,226.0,168901.0,161185.0,161185,17.0,17.0,950.0,16143.0,1.0,95849.0,87669.0
54,Grand Canyon University,Phoenix,NCAA Division I-AAA,2557,2141919.0,116831.0,256.0,4843313.0,4843313.0,4843313,15.0,15.0,51730.0,775948.0,1.0,3477818.0,3477818.0
55,GateWay Community College,Phoenix,NJCAA Division II,544,31919.0,32474.0,53.0,188868.0,180265.0,180265,,,,,,,
56,Mesa Community College,Mesa,NJCAA Division I,3753,83200.0,27683.0,289.0,331501.0,331501.0,331501,14.0,14.0,1268.0,17753.0,1.0,106489.0,106489.0
57,Dine College,Tsaile,Other,309,23250.0,5500.0,31.0,116654.0,116654.0,116654,,,,,,,
58,Northern Arizona University,Flagstaff,NCAA Division I-AA,7983,2328878.0,121046.0,265.0,1007451.0,1007451.0,1007451,17.0,17.0,20651.0,351074.0,1.0,1348607.0,1348607.0
59,Phoenix College,Phoenix,NJCAA Division II,1326,164952.0,44380.0,149.0,302529.0,288844.0,288844,16.0,16.0,1342.0,21475.0,1.0,157291.0,124467.0
60,Pima Community College,Tucson,NJCAA Division I,5203,255043.0,16462.0,278.0,521694.0,465791.0,465791,20.0,20.0,1312.0,26237.0,,112185.0,107597.0
61,Scottsdale Community College,Scottsdale,NJCAA Division II,1601,58500.0,22024.0,176.0,129967.0,129967.0,129967,15.0,15.0,905.0,13572.0,1.0,81288.0,81288.0
62,South Mountain Community College,Phoenix,NJCAA Division II,592,31200.0,19762.0,91.0,228366.0,212030.0,212030,15.0,15.0,1203.0,18047.0,,42308.0,39031.0
63,Arizona Christian University,Phoenix,NAIA Division I,230,604144.0,13583.0,122.0,952205.0,952205.0,952205,24.0,24.0,1657.0,39768.0,,229050.0,229050.0
64,Yavapai College,Prescott,NJCAA Division I,1153,261647.0,50508.0,50.0,547802.0,547802.0,547802,,,,,,,
65,University of Arkansas at Little Rock,Little Rock,NCAA Division I-AAA,2333,797973.0,133912.0,99.0,129913.0,1395102.0,1395102,13.0,13.0,30783.0,400184.0,1.0,1047100.0,1650446.0
66,Arkansas Baptist College,Little Rock,NJCAA Division I,572,42000.0,23240.0,152.0,112566.0,112566.0,112566,18.0,18.0,1009.0,18162.0,1.0,131932.0,131932.0
67,Lyon College,Batesville,NAIA Division I,260,1031657.0,37434.0,69.0,1089784.0,1089784.0,1089784,14.0,14.0,2237.0,31322.0,1.0,389131.0,389131.0
68,University of Arkansas,Fayetteville,NCAA Division I-A,8990,4645324.0,1099386.0,304.0,3528408.0,7602466.0,7602466,15.0,15.0,110995.0,1664918.0,1.0,15807554.0,7681927.0
69,University of Arkansas at Pine Bluff,Pine Bluff,NCAA Division I-AA,1068,999777.0,64966.0,151.0,578494.0,578494.0,578494,15.0,15.0,7817.0,117250.0,1.0,557641.0,557641.0
